Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
連心池瀑布和游龍湖步道 Liansin Pond Waterfall and Youlong Lake Trail  ,waterfall,penglai,P,10009,雲林縣,Yunlin County
賀伯峽谷瀑布 Hebo Valley Waterfall,waterfall,shi_pan_gu_river,Q,10010,嘉義縣,Chiayi County
飛龍瀑布 Flying Dragon Waterfall ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
雲龍瀑布 Yunlong Waterfall ,waterfall,lelegu,M,10008,南投縣,Nantou County
霧瓦娜溪瀑布 Taiwanaxi Waterfall ,waterfall,taiwanaxi,E,64000,高雄市,Kaohsiung City
望古瀑布 Wanggu Waterfall ,waterfall,wanggu,F,65000,新北市,New Taipei City
比麟瀑布 Bilin Waterfall ,waterfall,bilin,J,10004,新竹縣,Hsinchu County
高義瀑布5 Gaoyi Waterfall 5,waterfall,gaoyi,H,68000,桃園市,Taoyuan City
高義瀑布群 Gaoyi Waterfall Group ,waterfall,gaoyi,H,68000,桃園市,Taoyuan City
梅花瀑布 Meihua Waterfall,waterfall,meihua,J,10004,新竹縣,Hsinchu County
宇內溪滑水道 Yunei Waterslide ,waterfall,xiaowulai,H,68000,桃園市,Taoyuan City
三民蝙蝠洞 Sanmin Bat Cave,waterfall,sanmin,H,68000,桃園市,Taoyuan City
彩虹瀑布（時雨瀑布),waterfall,shigure,U,10015,花蓮縣,Hualien County
Rainbow Waterfall,,,,,,
夢谷瀑布 Dream Valley Waterfall,waterfall,caidie,M,10008,南投縣,Nantou County
