Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
加拿瀑布 Jiana Waterfall,waterfall,jaina,V,10014,臺東縣,Taitung County
情人瀑布 Lovers Waterfall,waterfall,lovers,Q,10010,嘉義縣,Chiayi County
玉牆瀑布 Wall Waterfall,waterfall,xiaowulai,H,68000,桃園市,Taoyuan City
茄冬瀑布 Qiedong Waterfall,waterfall,qiedong,F,65000,新北市,New Taipei City
大尖山瀑布 Dajianshan Waterfall,waterfall,qiedong,F,65000,新北市,New Taipei City
觀音瀑布 Guanyin Waterfall,waterfall,guanyin,Q,10010,嘉義縣,Chiayi County
到至情谷瀑布 to Passion Valley Canyon,waterfall,passion_valley,E,64000,高雄市,Kaohsiung City
玉門關瀑布 Jade Gate Waterfall,waterfall,jade_gate,M,10008,南投縣,Nantou County
塔曼水簾洞 Taman Dam Waterfall,waterfall,taman,H,68000,桃園市,Taoyuan City
回音谷瀑布 Echo Valley Waterfall,waterfall,echo_valley,G,10002,宜蘭縣,Yilan County
月眉坑瀑布 Yuemeikeng Waterfall,waterfall,yuenmeikeng,G,10002,宜蘭縣,Yilan County
深潭瀑布  ,waterfall,yuenmeikeng,G,10002,宜蘭縣,Yilan County
清泉瀑布 Qingquan Waterfall,waterfall,celestial,J,10004,新竹縣,Hsinchu County
清泉瀑布 Qingquan Waterfall,waterfall,qingquan,J,10004,新竹縣,Hsinchu County
石砦瀑布 Rock Wall Waterfall,waterfall,rock_wall,E,64000,高雄市,Kaohsiung City
托亞奇伊瀑布 Tuoachiyi Waterfall,waterfall,tuoachiyi,E,64000,高雄市,Kaohsiung City
九城瀑布 Nine Layer Waterfall ,waterfall,lao_nong_river,E,64000,高雄市,Kaohsiung City
翠林瀑布 Cuilin Waterfall,waterfall,cuilin,M,10008,南投縣,Nantou County
冬瓜山瀑布 Wintermelon Waterfall,waterfall,shuiyun,K,10005,苗栗縣,Miaoli County
天雲谷瀑布 Heavenly Cloud Waterfall,waterfall,shi_pan_gu_river,Q,10010,嘉義縣,Chiayi County
水簾洞瀑布  Shuiliandong Waterfall ,waterfall,little_papaya,M,10008,南投縣,Nantou County
舊歸崇瀑布 Old Guichong Waterfall,waterfall,caomang_river,T,10013,屏東縣,Pingtung County
草芒溪瀑布 Caomang Waterfall,waterfall,caomang_river,T,10013,屏東縣,Pingtung County
幽情瀑布 Youqing Waterfall,waterfall,dadigu,D,67000,臺南市,Tainan City
幽情瀑布 Youqing Waterfall,waterfall,youqing,D,67000,臺南市,Tainan City
佳暮雙瀑布 Jiamu Double Waterfall,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
力漢瀑布 Lihan Waterfall,waterfall,lili_river,T,10013,屏東縣,Pingtung County
嗡嗡瀑布  Wangwang Waterfall,waterfall,wangwang,V,10014,臺東縣,Taitung County
八邊瀑布 Babian Waterfal,waterfall,babian,V,10014,臺東縣,Taitung County
神谷瀑布群 Shengu waterfall,Waterfall,flag_lake_waterfall,P,10009,雲林縣,Yunlin County
大鬼瀑布 Big Ghost Waterfall,waterfall,bs_ghost,F,65000,新北市,New Taipei City
小鬼瀑布 Small Ghost Waterfall,waterfall,bs_ghost,F,65000,新北市,New Taipei City
拉卡溫泉 Laka Spring,hot_spring,laka,G,10002,宜蘭縣,Yilan County
